video_id,category,video_length,raw_video_file_length,phi_mrr,video_mrr,mrr_delta,phi_t_ndcg,video_temporal_ndcg,t_ndcg_delta,phi_cos_sim_mean,phi_cos_sim_min,video_cos_sim_mean,video_cos_sim_min,phi_cos_sim_residual_mean,phi_cos_sim_residual_min,video_cos_sim_residual_mean,video_cos_sim_residual_min,apcs_nll,apcs_perplexity,video_surprisal_var,video_surprisal_avg,video_surprisal_max,text_cos_sim,video_cos_sim,text_cos_sim_residual,video_cos_sim_residual,apcs_surprisal_nll,caption_surprisal_nll,caption_perplexity,norm_id,llama_mrr,llama_recall_at_1,llama_cos_sim_mean,llama_cos_sim_min,llama_mrr_start,llama_mrr_middle,llama_mrr_end,llama_mrr_delta,llama_vs_phi_mrr
4k-Relaxation_12-clip-6,Scenery,60,190,0.3596509038461538,0.2615977443603887,0.0980531594857651,0.7765242933348107,0.6439699505004871,0.1325543428343235,0.3309715888888889,0.1720142857142857,0.916931780676047,0.8773124441504478,0.0416449555555555,-0.0807707857142857,0.6196844925483068,0.4426493030041456,1.1131917317708333,3.3154890457789103,0.0059797810390591,0.0650329366326332,0.4972187876701355,0.3309715888888889,0.916931780676047,0.0416449555555555,0.6196844925483068,1.1131917317708333,1.1131917317708333,3.3154890457789103,4k-Relaxation_12-clip-6,0.6111110000000001,0.3333333333333333,0.5561703333333334,0.4230083333333334,0.555556,0.444444,0.833333,0.3495132556396114,0.2514600961538463
4k-Relaxation_3-clip-4,Scenery,60,118,0.3570749807692308,0.2615977443603886,0.0954772364088421,0.7742576975028703,0.6444233729638397,0.1298343245390306,0.2770226773809524,0.1255403571428571,0.9446546187003454,0.9111952682336172,0.0022387492063492,-0.0936131428571428,0.7416792636116346,0.6167372750739256,1.2698811848958331,4.029166624943415,0.00158757425379,0.0439591370522975,0.2950407862663269,0.2770226773809524,0.9446546187003454,0.0022387492063492,0.7416792636116346,1.2698811848958331,1.2698811848958331,4.029166624943415,4k-Relaxation_3-clip-4,0.4444445,0.1666665,0.43809733333333334,0.37102650000000004,,0.555556,0.333333,0.18284675563961145,0.08736951923076924
AiirSource-Military_1-clip-0,Military,60,70,0.3491234615384615,0.2854664842455952,0.0636569772928662,0.7654024434443734,0.6678446007810345,0.0975578426633388,0.2434859333333333,0.1015729285714285,0.6279818266630173,0.4557092068716883,0.0497371821428571,-0.0843799285714285,0.4760663999865452,0.2596251102319608,1.1923583984375,3.767451226711273,0.0500534661114215,0.3236621618270874,0.8197911977767944,0.2434859333333333,0.6279818266630173,0.0497371821428571,0.4760663999865452,1.1923583984375,1.1923583984375,3.767451226711273,AiirSource-Military_1-clip-0,0.4814813333333334,0.111111,0.45466111111111107,0.37036399999999997,0.611111,0.388889,0.444444,0.1960148490877382,0.13235787179487185
AiirSource-Military_12-manual,Military,60,66,0.3989759423076923,0.2841545150751007,0.1148214272325915,0.7608046959696714,0.6648626339238176,0.0959420620458537,0.3034667154761905,0.1684141428571428,0.5747674653927485,0.3661500761906306,0.0902333662698412,-0.0547212857142857,0.3558784375588099,0.0952869101117054,0.9829004923502604,3.636951581637065,0.0363425426185131,0.163164883852005,0.8236594796180725,0.3034667154761905,0.5747674653927485,0.0902333662698412,0.3558784375588099,0.9829004923502604,0.9829004923502604,3.636951581637065,AiirSource-Military_12-manual,0.5925923333333333,0.333333,0.31124811111111117,0.19393800000000003,0.583333,0.611111,0.583333,0.3084378182582326,0.193616391025641
AiirSource-Military_7-clip-1,Military,60,65,0.350327,0.2841545150751008,0.0661724849248991,0.7805530455636263,0.6688590234820821,0.1116940220815441,0.2489558174603174,0.0901002857142857,0.8433137809236845,0.7696603462100029,0.0540252031746031,-0.0746115714285714,0.6205038751165072,0.4695051973685622,1.0450642903645833,3.259187877178192,0.0110075557604432,0.1376226544380188,0.6267780065536499,0.2489558174603174,0.8433137809236845,0.0540252031746031,0.6205038751165072,1.0450642903645833,1.0450642903645833,3.259187877178192,AiirSource-Military_7-clip-1,0.4814813333333334,0.111111,0.6102750000000001,0.4923123333333333,0.611111,0.444444,0.388889,0.19732681825823256,0.13115433333333337
Army-military-2018_8-clip-73,Military,60,78,0.3542574807692307,0.2784506909509904,0.0758067898182403,0.7782996783877129,0.6651684493950696,0.1131312289926432,0.2505126706349206,0.0677611428571428,0.7821331173181534,0.6646538451313972,0.0814177888888888,-0.0956312142857142,0.6772947944700718,0.5074623473919928,1.2119710286458334,4.1324371834596,0.020569073036313,0.0957304090261459,0.7234505414962769,0.2505126706349206,0.7821331173181534,0.0814177888888888,0.6772947944700718,1.2119710286458334,1.2119710286458334,4.1324371834596,Army-military-2018_8-clip-73,0.6203703333333334,0.3333333333333333,0.4134438888888889,0.23155233333333333,0.833333,0.416667,0.611111,0.34191964238234296,0.26611285256410266
BC-Bushcraft_10-clip-8,Survival,60,86,0.3756850384615384,0.2660264170039418,0.1096586214575966,0.7766700493014518,0.6476789345532142,0.1289911147482375,0.2171540226190476,0.0633467142857142,0.6792435596386591,0.5557432267814875,0.0650243837301587,-0.0816928571428571,0.384899156478544,0.1634462545625865,0.9856814066569012,3.3804804901281997,0.0352490581572055,0.2035182863473892,0.8179433345794678,0.2171540226190476,0.6792435596386591,0.0650243837301587,0.384899156478544,0.9856814066569012,0.9856814066569012,3.3804804901281997,BC-Bushcraft_10-clip-8,0.45370366666666667,0.111111,0.5026042222222222,0.35097266666666666,0.388889,0.361111,0.611111,0.18767724966272487,0.07801862820512828
BC-Bushcraft_11-clip-31,Survival,60,204,0.3577661153846154,0.2615977443603886,0.0961683710242267,0.7716281006015465,0.6508969501841629,0.1207311504173835,0.2316006694444444,0.0853432857142857,0.761125884950161,0.6823669038712978,-0.0108902527777777,-0.1443447142857143,0.4198185750283301,0.2691386540730794,1.156396484375,3.484811965624492,0.0173219945281744,0.1376178711652755,0.8744791746139526,0.2316006694444444,0.761125884950161,-0.0108902527777777,0.4198185750283301,1.156396484375,1.156396484375,3.484811965624492,BC-Bushcraft_11-clip-31,0.462963,0.222222,0.270861,0.12827533333333332,0.583333,0.5,0.305556,0.20136525563961144,0.10519688461538462
BC-Bushcraft_2-clip-2,Survival,60,66,0.3293339615384615,0.2841545150751007,0.0451794464633607,0.7721015936352862,0.6685677078363099,0.1035338857989762,0.216947421031746,0.0347416428571428,0.8157356753945351,0.6033252210666736,0.0476400095238095,-0.0622469285714285,0.4557281577338775,0.2002256497119864,0.975189208984375,3.242989840110143,0.0172931645065546,0.1202019825577735,0.90215402841568,0.216947421031746,0.8157356753945351,0.0476400095238095,0.4557281577338775,0.975189208984375,0.975189208984375,3.242989840110143,BC-Bushcraft_2-clip-2,0.6574073333333333,0.4444443333333334,0.5761240000000001,0.49513333333333326,0.777778,0.583333,0.611111,0.37325281825823264,0.32807337179487184
BC-Bushcraft_9-clip-5,Survival,60,64,0.3519021538461538,0.2782412380151849,0.0736609158309689,0.7822328404694601,0.6617127777697043,0.1205200626997557,0.3154951404761905,0.1681727857142857,0.7946407248576483,0.7084952387958765,0.0657855853174603,-0.1156954999999999,0.5706130143565437,0.402790532913059,0.9690775553385416,3.165412453810374,0.0092161782085895,0.1710265874862671,0.7139466404914856,0.3154951404761905,0.7946407248576483,0.0657855853174603,0.5706130143565437,0.9690775553385416,0.9690775553385416,3.165412453810374,BC-Bushcraft_9-clip-5,0.5092593333333334,0.22222233333333333,0.5279858888888889,0.4345463333333333,0.777778,0.333333,0.416667,0.2310180953181485,0.1573571794871796
