video_id,category,video_length,raw_video_file_length,text_mrr,video_mrr,mrr_delta,text_temporal_ndcg,video_temporal_ndcg,t_ndcg_delta,text_cos_sim,video_cos_sim,text_cos_sim_residual,video_cos_sim_residual,apcs_surprisal_nll,apcs_perplexity,video_surprisal_var,video_surprisal_avg,video_surprisal_max
4k-Relaxation_12-clip-6,Scenery,60,190,0.35965090384615384,0.2615977443603887,0.09805315948576515,0.7765242933348107,0.6439699505004871,0.13255434283432355,0.33097158888888895,0.916931780676047,0.04164495555555555,0.6196844925483068,1.1131917317708333,3.3154890457789103,0.005979781039059162,0.06503293663263321,0.4972187876701355
4k-Relaxation_3-clip-4,Scenery,60,118,0.3570749807692308,0.26159774436038863,0.09547723640884215,0.7742576975028703,0.6444233729638397,0.12983432453903065,0.2770226773809524,0.9446546187003454,0.0022387492063492076,0.7416792636116346,1.2698811848958333,4.029166624943415,0.0015875742537900805,0.04395913705229759,0.2950407862663269
AiirSource-Military_1-clip-0,Military,60,70,0.3491234615384615,0.28546648424559523,0.06365697729286629,0.7654024434443734,0.6678446007810345,0.09755784266333889,0.24348593333333332,0.6279818266630173,0.04973718214285714,0.47606639998654526,1.1923583984375,3.767451226711273,0.050053466111421585,0.3236621618270874,0.8197911977767944
AiirSource-Military_12-manual,Military,60,66,0.39897594230769234,0.28415451507510076,0.11482142723259159,0.7608046959696714,0.6648626339238176,0.09594206204585376,0.3034667154761905,0.5747674653927485,0.09023336626984127,0.35587843755880993,0.9829004923502604,3.6369515816370646,0.03634254261851311,0.163164883852005,0.8236594796180725
AiirSource-Military_7-clip-1,Military,60,65,0.350327,0.2841545150751008,0.06617248492489919,0.7805530455636263,0.6688590234820821,0.11169402208154411,0.24895581746031747,0.8433137809236845,0.05402520317460318,0.6205038751165072,1.0450642903645833,3.259187877178192,0.01100755576044321,0.1376226544380188,0.6267780065536499
Army-military-2018_8-clip-73,Military,60,78,0.35425748076923075,0.27845069095099045,0.0758067898182403,0.7782996783877129,0.6651684493950696,0.11313122899264327,0.2505126706349206,0.7821331173181534,0.08141778888888888,0.6772947944700718,1.2119710286458334,4.1324371834596,0.020569073036313057,0.09573040902614594,0.7234505414962769
BC-Bushcraft_10-clip-8,Survival,60,86,0.37568503846153845,0.2660264170039418,0.10965862145759664,0.7766700493014518,0.6476789345532142,0.12899111474823755,0.21715402261904762,0.6792435596386591,0.06502438373015873,0.38489915647854406,0.9856814066569011,3.3804804901281993,0.03524905815720558,0.20351828634738922,0.8179433345794678
BC-Bushcraft_11-clip-31,Survival,60,204,0.3577661153846154,0.26159774436038863,0.09616837102422676,0.7716281006015465,0.6508969501841629,0.12073115041738358,0.23160066944444443,0.761125884950161,-0.010890252777777778,0.4198185750283301,1.156396484375,3.4848119656244916,0.0173219945281744,0.13761787116527557,0.8744791746139526
BC-Bushcraft_2-clip-2,Survival,60,66,0.3293339615384615,0.28415451507510076,0.04517944646336075,0.7721015936352862,0.6685677078363099,0.10353388579897627,0.21694742103174605,0.8157356753945351,0.04764000952380953,0.4557281577338775,0.975189208984375,3.242989840110143,0.017293164506554604,0.12020198255777359,0.9021540284156799
BC-Bushcraft_9-clip-5,Survival,60,64,0.35190215384615386,0.27824123801518497,0.0736609158309689,0.7822328404694601,0.6617127777697043,0.12052006269975579,0.3154951404761905,0.7946407248576483,0.06578558531746032,0.5706130143565437,0.9690775553385417,3.165412453810374,0.009216178208589554,0.1710265874862671,0.7139466404914856
